"Timestamp","Resident Year","Have you taken the BIDMC Surgical Anatomy Course?","If you have taken the BIDMC Surgical Anatomy Course, how satisfied were you with the course?","In medical school, what would best describe your Anatomy instruction?","If other, please describe your prior anatomy training in medical school:","How satisfied were you with the anatomy training in your medical school?","How would you describe your comfort with the performance or anatomic exposure for the following procedures? [Forearm Fasciotomy]","How would you describe your comfort with the performance or anatomic exposure for the following procedures? [Popliteal A. Exposure]","How would you describe your comfort with the performance or anatomic exposure for the following procedures? [Axillary Lymphadenectomy]","How would you describe your comfort with the performance or anatomic exposure for the following procedures? [Subclavian vessel exposure]","How would you describe your comfort with the performance or anatomic exposure for the following procedures? [Femoral hernia repair]","How would you describe your comfort with the performance or anatomic exposure for the following procedures? [(Tissue) Inguinal Hernia Repair]","How would you describe your comfort with the performance or anatomic exposure for the following procedures? [Resuscitative (ED) thoracotomy]","How would you describe your comfort with the performance or anatomic exposure for the following procedures? [Mediastinoscopy]","How would you describe your comfort with the performance or anatomic exposure for the following procedures? [(Cattel-Brasch) Right Medial Visceral Rotation]","How would you describe your comfort with the performance or anatomic exposure for the following procedures? [Common Bile Duct Exploration]","How would you describe your comfort with the performance or anatomic exposure for the following procedures? [Aortic bifurcation exposure/repair]","How would you describe your comfort with the performance or anatomic exposure for the following procedures? [SMA Exposure]","How would you describe your comfort with the performance or anatomic exposure for the following procedures? [Total Mesorectal Excision (TME)]","How would you describe your comfort with the performance or anatomic exposure for the following procedures? [Abdominal Hysterectomy]","How would you describe your comfort with the performance or anatomic exposure for the following procedures? [High-ligation colonic vessels]","What would you change in the anatomy course?","Any other comments or suggestions for anatomy training?"
"2019/01/09 12:33:22 PM EST","PGY-3","No","","Hybrid anatomy modules during other courses in medical school (eg. Lung anatomy during lung physiology course)","","3","Basics","Basics","Some idea","Some idea","Basics","Basics","Basics","Basics","Basics","Basics","Basics","Basics","Basics","Basics","Basics","","We  need more of it! Thanks for working to improve our education! "
"2019/01/09 12:37:58 PM EST","PGY-1","No","","First semester devoted > 20 hrs a week to anatomy . 2 hours MWF for class, 3 hours MWF for lab time plus outside studying ","I learned the basic well and thoroughly. Used clinical anatomy Moore textbook. I did not learn how to dissect for surgical procedures","5","Basics","Basics","Basics","Basics","No idea","No idea","No idea","No idea","No idea","No idea","No idea","No idea","No idea","No idea","No idea","","Must have dedicated TA for a productive anatomy course. Should have model cadavers to show how each dissection is done properly prior to breaking into smaller groups that could be used for TA. Must have review office hours to be successful. I Would be happy to help in planning this. I was an anatomy course TA in medical school for 3 years and I loved it because I enjoy teaching . Tariana"
"2019/01/09 1:01:52 PM EST","Research resident","Yes","4","1 year course of human anatomy over 1st year of medical school","","4","Some idea","No idea","Basics","Some idea","Basics","Basics","Basics","Some idea","Comfortable","Basics","Comfortable","Basics","Some idea","Some idea","Some idea","More structured - more expert /clinician led components ",""
"2019/01/09 1:42:39 PM EST","Research resident","Yes","2","Hybrid anatomy modules during other courses in medical school (eg. Lung anatomy during lung physiology course)","","1","Some idea","Basics","Some idea","Basics","No idea","Basics","Some idea","Basics","Basics","Basics","Some idea","Some idea","No idea","No idea","No idea","I think that the physicians who are leading the course should send out the materials to the students as to what operations they want to do. We review the anatomy and then we do a brief talk about development if relevant at the beginning of the class. Then do the operation. Also fresh cadavers would be awesome",""
"2019/01/09 1:44:50 PM EST","PGY-4","Yes","3","1st semester 1st year intensive course","","1","Some idea","Some idea","Comfortable","Comfortable","Comfortable","Independent","Basics","Basics","Comfortable","Basics","Basics","Basics","Comfortable","Basics","Comfortable","Procedure based.",""
"2019/01/09 2:00:06 PM EST","PGY-4","Yes","2","1 year course of human anatomy over 1st year of medical school","","5","No idea","No idea","Some idea","No idea","Some idea","Comfortable","Some idea","No idea","Some idea","No idea","No idea","No idea","No idea","No idea","No idea","Things went too quickly, I got overwhelmed by so many of my co-residents being on the cadaver, I didn't get teaching/steps of procedures at my own pace. ",""
"2019/01/09 3:06:52 PM EST","Research resident","No","","1 year course of human anatomy over 1st year of medical school","My anatomy training was different in that we used fresh cadavers without formalin. Also, most of the dissections were performed by the surgery residents, and we were presented the material through the completed dissection.","5","Basics","Some idea","Basics","Some idea","Some idea","Basics","Basics","Basics","Some idea","Basics","Some idea","Some idea","Some idea","Some idea","Some idea","",""
"2019/01/09 6:05:44 PM EST","Research resident","Yes","5","1 year course of human anatomy over 1st year of medical school","","3","Some idea","Independent","Comfortable","Basics","Independent","Independent","Basics","Basics","Comfortable","Some idea","Some idea","Some idea","Comfortable","Some idea","Comfortable","More time in abdomen, chest, and pelvis. ","Trudy is great. "
"2019/01/09 7:26:34 PM EST","PGY-1","No","","4-10 week intensive human anatomy course","","4","No idea","No idea","No idea","No idea","No idea","No idea","No idea","No idea","No idea","No idea","No idea","No idea","No idea","No idea","No idea","",""
"2019/01/09 9:38:46 PM EST","PGY-2","No","","Hybrid anatomy modules during other courses in medical school (eg. Lung anatomy during lung physiology course)","","3","Some idea","Basics","Basics","Basics","Some idea","Comfortable","Some idea","Some idea","No idea","Comfortable","Some idea","Some idea","Some idea","Some idea","Some idea","",""
"2019/01/09 9:47:31 PM EST","Research resident","No","","1 year course of human anatomy over 1st year of medical school","","5","Basics","Some idea","Basics","Basics","Basics","Basics","No idea","Some idea","Some idea","Some idea","No idea","Some idea","No idea","No idea","Some idea","",""
"2019/01/10 12:20:16 PM EST","PGY-2","No","","4-10 week intensive human anatomy course","","5","Some idea","Some idea","Basics","Some idea","Comfortable","Comfortable","Basics","Some idea","Some idea","Some idea","Some idea","Some idea","Some idea","Some idea","Basics","",""
"2019/01/10 5:06:32 PM EST","PGY-1","No","","1 year course of human anatomy over 1st year of medical school","","5","Some idea","Basics","Some idea","Basics","Some idea","Basics","Some idea","No idea","No idea","Comfortable","Comfortable","Basics","Basics","Basics","Basics","","training available for PGY 1 as well"
"2019/01/12 6:40:12 PM EST","PGY-3","No","","4-10 week intensive human anatomy course","","3","Some idea","Basics","Basics","Basics","Basics","Comfortable","Some idea","Some idea","Comfortable","Basics","Comfortable","Comfortable","Some idea","Some idea","Some idea","",""
"2019/01/12 6:47:47 PM EST","PGY-2","No","","Hybrid anatomy modules during other courses in medical school (eg. Lung anatomy during lung physiology course)","","5","Basics","Basics","Comfortable","Basics","Basics","Basics","Some idea","Some idea","Some idea","Comfortable","Some idea","Some idea","Some idea","Some idea","Some idea","",""
"2019/01/12 6:50:53 PM EST","PGY-5","No","","Hybrid anatomy modules during other courses in medical school (eg. Lung anatomy during lung physiology course)","","4","No idea","Basics","Basics","No idea","Basics","Basics","Some idea","Basics","Comfortable","Basics","Basics","Basics","Basics","Some idea","Basics","","Having recurrent anatomy exposure that is appropriate to the level of surgical training would be awesome! "
"2019/01/12 6:52:58 PM EST","PGY-1","No","","Hybrid anatomy modules during other courses in medical school (eg. Lung anatomy during lung physiology course)","","2","No idea","No idea","Basics","No idea","Some idea","Basics","Some idea","Some idea","No idea","Basics","No idea","No idea","No idea","No idea","No idea","more time with dissection, less time online",""
"2019/01/12 6:54:36 PM EST","PGY-1","No","","4-10 week intensive human anatomy course","","4","Some idea","Some idea","Basics","No idea","No idea","Some idea","Some idea","No idea","No idea","No idea","No idea","No idea","No idea","No idea","No idea","",""
"2019/01/12 7:03:22 PM EST","PGY-3","No","","1 year course of human anatomy over 1st year of medical school","","4","Basics","No idea","Independent","Basics","Independent","Comfortable","Independent","Some idea","Independent","Basics","Basics","Comfortable","Basics","Basics","Comfortable","","Should be teaching also exposure techniques "
"2019/01/12 7:03:51 PM EST","PGY-1","No","3","4-10 week intensive human anatomy course","","3","Some idea","Some idea","Basics","Basics","Comfortable","Comfortable","Some idea","Some idea","Some idea","Independent","Basics","Comfortable","Basics","Comfortable","Basics","Have not taken it ",""
"2019/01/12 7:08:37 PM EST","PGY-5","Yes","4","Hybrid anatomy modules during other courses in medical school (eg. Lung anatomy during lung physiology course)","","3","Comfortable","Comfortable","Comfortable","Basics","Comfortable","Independent","Comfortable","Basics","Independent","Comfortable","Basics","Independent","Comfortable","Some idea","Independent","More focus on trauma procedures",""
"2019/01/12 7:21:38 PM EST","PGY-2","No","","1 year course of human anatomy over 1st year of medical school","","3","Basics","Some idea","Comfortable","Basics","Comfortable","Comfortable","Some idea","Some idea","No idea","Comfortable","Some idea","Some idea","No idea","No idea","Some idea","","Should be more frequent! "
"2019/01/12 7:43:01 PM EST","PGY-4","Yes","2","1 year course of human anatomy over 1st year of medical school","","4","Comfortable","Basics","Basics","Some idea","Comfortable","Independent","Some idea","Basics","Comfortable","Basics","Some idea","Some idea","Basics","Some idea","Basics","1) I took the course 4 years ago before going to the lab. the instructor was an anatomist and not a surgeon so making it surgically relevant was difficult
2) because we shared with BWH, the disection was mostly done before we got to the body so it was sometimes hard to recreate. 
3) the course goals should be more specific eg -> pringle, kocher, mattox, cattle brasch, lesser sac, etc
","My colleagues at NYU do his course on pigs where they have to keep the pig alive after penetrating trauma. not sure if there are other professional courses that we could adopt some of their methods, even if we can't get to do them"
"2019/01/12 8:08:36 PM EST","PGY-1","No","","6 months of anatomy ","","2","No idea","No idea","No idea","No idea","No idea","No idea","No idea","No idea","No idea","No idea","No idea","No idea","No idea","No idea","No idea","",""
"2019/01/12 8:25:48 PM EST","PGY-3","Yes","5","1 year course of human anatomy over 1st year of medical school","","5","Basics","Some idea","Basics","Some idea","Basics","Independent","Basics","Some idea","No idea","Basics","Basics","Some idea","Some idea","Some idea","Some idea","",""
"2019/01/12 8:36:47 PM EST","PGY-3","No","","1 year course of human anatomy over 1st year of medical school","","4","No idea","No idea","Basics","No idea","Basics","Comfortable","No idea","No idea","No idea","Basics","No idea","No idea","No idea","No idea","No idea","",""
"2019/01/12 9:29:58 PM EST","PGY-2","No","","4-10 week intensive human anatomy course","","2","No idea","No idea","Basics","No idea","Basics","Independent","No idea","No idea","No idea","Some idea","No idea","No idea","No idea","No idea","No idea","",""
"2019/01/13 4:27:38 AM EST","PGY-4","Yes","3","1 year course of human anatomy over 1st year of medical school","","2","Some idea","Some idea","Basics","No idea","Basics","Basics","Some idea","Basics","Some idea","Some idea","Basics","Basics","Some idea","No idea","Some idea","More specific procedure focused anatomy review for all organ systems and allow for practice with performing certain exposures and incorporating procedures such as bowel/duct/vessel anastomoses ",""
"2019/01/13 8:31:38 AM EST","PGY-4","Yes","4","4-10 week intensive human anatomy course","","5","Some idea","Some idea","Basics","Some idea","Some idea","Comfortable","Some idea","Some idea","Some idea","Some idea","No idea","No idea","No idea","No idea","Basics","",""
"2019/01/13 9:11:05 AM EST","PGY-1","No","","2 year course over first two years of medical school","","2","No idea","No idea","Basics","Basics","Some idea","Comfortable","Some idea","Some idea","No idea","Some idea","No idea","No idea","No idea","No idea","No idea","",""
"2019/01/13 10:48:52 AM EST","PGY-3","Yes","3","Hybrid anatomy modules during other courses in medical school (eg. Lung anatomy during lung physiology course)","","3","No idea","Some idea","Some idea","Some idea","Basics","Basics","Basics","Basics","Basics","No idea","No idea","No idea","Some idea","No idea","No idea","I think it is important to narrow the scope of the course. What exactly is the educational goal? Is the goal really to learn breast anatomy on a cadaver? If you are teaching pgy3 residents breast anatomy with this course, the program overall should probably reevaluate its teaching methods. 

I think that the course benefits residents by taking a few critical procedures/operative cases that we may never see (many of us may never see an ED thoracotomy, do a forearm fasiotomy, or do a cesarean section in residency) and relating them to skills we may already have/know to help us remember how to do them in high pressure situations.

I think the course was a bit too much like my med school course - generic anatomy. That's not really level appropriate.

I fully agree with the response that we should have taken more ownership of the course and should have prepared more and prepared better. ",""
"2019/01/13 11:42:35 AM EST","PGY-2","No","","1 year course of human anatomy over 1st year of medical school","","3","Some idea","Basics","Basics","Some idea","Some idea","Some idea","No idea","No idea","Some idea","Basics","No idea","Some idea","No idea","Some idea","Some idea","",""
"2019/01/13 12:55:44 PM EST","PGY-3","No","","1 year course of human anatomy over 1st year of medical school","","3","Some idea","Basics","Basics","Basics","Basics","Comfortable","Some idea","No idea","Some idea","Some idea","Basics","Basics","Some idea","Some idea","Some idea","",""
"2019/01/13 1:03:31 PM EST","Research resident","Yes","4","1 year course of human anatomy over 1st year of medical school","","5","Some idea","Some idea","Comfortable","Basics","Basics","Basics","Basics","Basics","Basics","Basics","Comfortable","Basics","Some idea","Some idea","Basics","",""
"2019/01/13 1:11:39 PM EST","PGY-2","No","3","Hybrid anatomy modules during other courses in medical school (eg. Lung anatomy during lung physiology course)","","5","Some idea","Basics","Basics","Basics","Basics","Basics","Comfortable","Some idea","No idea","No idea","No idea","Some idea","No idea","Some idea","Some idea","",""
"2019/01/13 2:13:49 PM EST","PGY-1","No","","First semester of med school anatomy course","First semester of med school anatomy course","1","No idea","No idea","No idea","No idea","No idea","Basics","Basics","No idea","No idea","Basics","Some idea","Some idea","No idea","Basics","Some idea","",""
"2019/01/13 6:37:49 PM EST","PGY-5","Yes","4","4-10 week intensive human anatomy course","","3","Some idea","Basics","Comfortable","Basics","Basics","Independent","Comfortable","Basics","Independent","Comfortable","Basics","Basics","Independent","Some idea","Independent","More time on procedures we don't do frequently",""
"2019/01/13 10:55:26 PM EST","PGY-3","No","","1 year course of human anatomy over 1st year of medical school","","2","No idea","Some idea","Basics","Some idea","Some idea","Basics","Some idea","No idea","Basics","Basics","Some idea","Some idea","No idea","Some idea","Some idea","",""
"2019/01/13 11:23:30 PM EST","PGY-2","No","","Hybrid anatomy modules during other courses in medical school (eg. Lung anatomy during lung physiology course)","4th year surgical anatomy course","3","Some idea","No idea","Some idea","No idea","Some idea","Basics","Some idea","Basics","Some idea","Some idea","No idea","Some idea","Some idea","Some idea","Some idea","",""
"2019/01/14 9:51:59 AM EST","PGY-4","Yes","1","1 Year and half anatomy course","","5","Basics","Basics","Basics","Basics","Basics","Basics","Basics","Basics","Some idea","Some idea","Some idea","Basics","Some idea","Some idea","Basics","Less Trudy and more clinical/surgical relevant anatomy. ",""
"2019/01/14 12:24:25 PM EST","Research resident","Yes","5","1 year course of human anatomy over 1st year of medical school","","5","Some idea","Some idea","Basics","Basics","Basics","Comfortable","Basics","Some idea","Some idea","Basics","Some idea","No idea","No idea","No idea","No idea","Fewer residents per cadaver","Having attendings present for teaching was very valuable, esp. attendings with whom we don't usually work with (e.g. Plastics, Urology, etc.)"
"2019/01/14 12:26:27 PM EST","PGY-4","Yes","1","1 Year and half anatomy course","","5","Basics","Basics","Basics","Basics","Basics","Basics","Basics","Basics","Some idea","Some idea","Some idea","Basics","Some idea","Some idea","Basics","Less Trudy and more clinical/surgical relevant anatomy. ",""
